                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 0.7713,                0.53037,                0.07419,                0.55547,                   0.41,                0.42476,                 0.2572,                0.70206,                0.55618,                0.07393,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.7685,                0.53267,                0.07472,                0.56004,                0.40871,                  0.425,                0.25684,                0.69978,                0.55677,                0.07337,                 0.0001,                 0.0001,                 0.0001
                     62,                0.77456,                0.52959,                0.07422,                0.56457,                0.40843,                0.42713,                0.25859,                0.69826,                 0.5567,                0.07298,                 0.0001,                 0.0001,                 0.0001
                     63,                0.76757,                0.53123,                0.07346,                0.56856,                0.40831,                0.42718,                0.25862,                0.69784,                0.55585,                0.07273,                 0.0001,                 0.0001,                 0.0001
                     64,                0.77046,                0.52986,                0.07398,                0.56996,                0.41051,                0.42982,                0.26041,                0.69702,                0.55623,                0.07243,                 0.0001,                 0.0001,                 0.0001
                     65,                0.76667,                0.53029,                0.07338,                0.56632,                0.41251,                0.42938,                0.26022,                0.69644,                0.55579,                0.07235,                 0.0001,                 0.0001,                 0.0001
                     66,                0.76339,                0.52966,                0.07308,                0.57039,                0.41411,                0.43295,                0.26257,                0.69461,                0.55584,                0.07201,                 0.0001,                 0.0001,                 0.0001
                     67,                0.76578,                0.52992,                0.07326,                0.57232,                0.41615,                0.43365,                0.26319,                0.69282,                 0.5561,                0.07179,                 0.0001,                 0.0001,                 0.0001
                     68,                0.75971,                0.52911,                0.07215,                0.57198,                0.41561,                0.43485,                0.26383,                0.69144,                 0.5568,                0.07148,                 0.0001,                 0.0001,                 0.0001
                     69,                0.75583,                0.52934,                0.07246,                0.57716,                0.41428,                0.43546,                0.26416,                0.69057,                0.55645,                0.07153,                 0.0001,                 0.0001,                 0.0001
                     70,                0.75857,                0.53018,                0.07266,                0.57622,                0.41578,                0.43643,                0.26502,                0.68978,                0.55622,                 0.0716,                 0.0001,                 0.0001,                 0.0001
                     71,                0.75393,                0.52876,                0.07196,                0.57494,                0.41464,                 0.4359,                0.26476,                 0.6889,                0.55621,                0.07126,                 0.0001,                 0.0001,                 0.0001
                     72,                0.75068,                0.53013,                0.07107,                0.57402,                0.41676,                0.43632,                0.26485,                0.68815,                0.55591,                0.07111,                 0.0001,                 0.0001,                 0.0001
                     73,                  0.749,                0.52927,                0.07137,                0.57585,                0.41852,                0.43651,                0.26495,                 0.6877,                0.55595,                0.07084,                 0.0001,                 0.0001,                 0.0001
                     74,                0.75238,                0.52698,                0.07173,                0.57678,                0.41708,                  0.437,                0.26514,                0.68707,                0.55569,                0.07074,                 0.0001,                 0.0001,                 0.0001
                     75,                0.75035,                0.52705,                0.07138,                0.57658,                0.42003,                0.43844,                0.26602,                0.68661,                0.55566,                0.07058,                 0.0001,                 0.0001,                 0.0001
                     76,                0.74718,                0.52832,                0.07132,                0.57463,                0.42213,                0.43931,                0.26635,                0.68541,                0.55508,                0.07041,                 0.0001,                 0.0001,                 0.0001
                     77,                 0.7476,                0.52709,                0.07052,                 0.5744,                0.42064,                0.43812,                0.26549,                0.68471,                 0.5554,                0.07021,                 0.0001,                 0.0001,                 0.0001
